Data,Categoria,Valor,Descrição
2024-07-15,Alimentação,45.5,Almoço no restaurante
2024-07-15,Transporte,12,Passagem de ônibus
2024-07-16,Lazer,80,Cinema com amigos
2024-07-17,Moradia,850,Aluguel
2024-07-18,Supermercado,120,Compras do mês
2024-07-19,Alimentação,25,Café da tarde
2024-07-20,Lazer,50,Jantar fora
2024-07-21,Transporte,30,Uber
2024-07-22,Moradia,110,Conta de luz
2024-07-23,Supermercado,85,Compras da semana
2024-07-24,Alimentação,60,Jantar de aniversário
2024-07-25,Lazer,150,Show da banda X
2024-07-26,Transporte,20,Táxi
2024-07-27,Moradia,95,Conta de água
2024-07-28,Supermercado,40,Compras de lanche
2024-07-29,Alimentação,35,Almoço com colegas
2024-07-30,Lazer,75,Entrada em balada
2024-07-31,Outros,200,Presente de aniversário
2024-08-01,Salário,5000,Salário mensal
2024-08-02,Alimentação,30,Almoço rápido
2024-08-03,Transporte,15,Gasolina
2024-08-04,Lazer,100,Jogo de futebol
2024-08-05,Supermercado,100,Reposição de alimentos
2024-08-06,Alimentação,40,Jantar com a família
2024-08-07,Saúde,90,Consulta médica
2024-08-08,Moradia,120,Internet
2024-08-09,Educação,200,Curso online
2024-08-10,Outros,50,Presente para amigo
2024-08-11,Alimentação,28,Almoço no trabalho
2024-08-12,Transporte,10,Passagem de trem
2024-08-13,Lazer,65,Exposição de arte
2024-08-14,Supermercado,95,Compras para o jantar
2024-08-15,Alimentação,32,Almoço no centro
2024-08-16,Saúde,45,Remédios
2024-08-17,Moradia,80,Pequenos reparos
2024-08-18,Educação,150,Livros
2024-08-19,Outros,30,Doação para caridade
2024-08-20,Alimentação,26,Almoço com colega
2024-08-21,Transporte,18,Combustível
2024-08-22,Lazer,70,Noite de karaokê
2024-08-23,Supermercado,110,Compras para o fim de semana
2024-08-24,Alimentação,38,Almoço com amigos
2024-08-25,Saúde,55,Suplementos alimentares
2024-08-26,Moradia,75,Manutenção do carro
2024-08-27,Educação,180,Material de estudo
2024-08-28,Outros,45,Assinatura de streaming
2024-08-29,Alimentação,29,Almoço no restaurante
2024-08-30,Transporte,12,Passagem de ônibus
2024-08-31,Lazer,80,Cinema com amigos